District Number,District Name,Overall Composite,Literacy Composite,Numeracy Composite,Literacy and Numeracy Composite,Science Composite,Social Studies Composite
10,Anderson County,3,2,5,3,1,3
100,Carter County,5,3,5,5,4,3
101,Elizabethton,3,2,5,4,1,3
11,Clinton,5,5,5,5,3,4
110,Cheatham County,5,5,5,5,5,2
12,Oak Ridge,5,5,5,5,5,5
120,Chester County,3,3,2,3,2,5
130,Claiborne County,2,3,3,3,3,2
140,Clay County,1,1,1,1,1,1
150,Cocke County,1,1,1,1,3,2
151,Newport,5,3,4,3,5,5
160,Coffee County,5,5,4,5,3,1
161,Manchester,4,3,3,3,3,3
162,Tullahoma,5,3,5,5,3,4
170,Crockett County,1,1,5,3,2,1
171,Alamo,1,1,3,1,1,2
172,Bells,5,4,5,5,2,
180,Cumberland County,1,3,5,4,4,1
190,Davidson County,5,5,5,5,5,3
20,Bedford County,5,5,3,5,3,3
200,Decatur County,1,1,2,1,2,1
210,DeKalb County,3,4,3,3,1,5
220,Dickson County,4,3,1,1,5,5
230,Dyer County,5,3,5,5,5,5
231,Dyersburg,5,3,5,5,3,5
240,Fayette County Public Schools,1,1,1,1,1,1
250,Fentress County,4,4,5,5,3,2
260,Franklin County,2,3,1,2,3,1
271,Humboldt City Schools,3,4,2,3,2,3
272,Milan,5,3,5,5,5,5
273,Trenton,3,4,1,1,3,5
274,Bradford,4,3,3,3,3,5
275,Gibson Co Sp Dist,5,4,5,5,5,5
280,Giles County,1,1,1,1,2,1
290,Grainger County,1,3,2,2,3,2
30,Benton County,3,1,3,2,4,3
300,Greene County,5,5,5,5,5,5
301,Greeneville,5,5,5,5,5,5
310,Grundy County,3,3,2,3,3,3
320,Hamblen County,5,5,5,5,3,5
330,Hamilton County,5,5,2,4,4,5
340,Hancock County,3,3,4,4,2,3
350,Hardeman County Schools,3,5,3,4,3,1
360,Hardin County,1,1,5,3,1,1
370,Hawkins County,1,1,1,1,3,1
371,Rogersville,5,3,5,5,4,3
380,Haywood County,1,1,3,1,4,1
390,Henderson County,3,3,4,3,3,1
391,Lexington,5,4,4,5,5,5
40,Bledsoe County,5,4,5,5,1,1
400,Henry County,3,3,5,4,3,3
401,Paris,5,3,2,3,3,5
410,Hickman County,1,1,1,1,1,1
420,Houston County,1,1,1,1,3,3
430,Humphreys County,1,1,3,1,3,1
440,Jackson County,5,5,2,4,5,4
450,Jefferson County,5,5,5,5,5,5
460,Johnson County,1,3,1,1,3,1
470,Knox County,5,1,5,1,5,5
480,Lake County,1,1,2,1,2,3
490,Lauderdale County,1,1,3,1,1,1
50,Blount County,5,5,4,5,3,2
500,Lawrence County,3,1,5,2,3,5
51,Alcoa,5,4,5,5,5,4
510,Lewis County,1,1,1,1,1,5
52,Maryville,5,3,4,4,5,5
520,Lincoln County,1,2,1,1,1,5
521,Fayetteville,5,3,5,5,5,3
530,Loudon County,1,3,2,2,1,2
531,Lenoir City,1,2,1,1,1,1
540,McMinn County,2,3,1,1,1,5
541,Athens,3,5,3,4,1,2
542,Etowah,3,1,5,3,1,3
550,McNairy County,1,1,3,2,2,1
560,Macon County,1,1,2,1,1,3
570,Madison County,3,2,4,3,5,1
580,Marion County,1,3,1,1,3,3
581,Richard City,4,3,3,3,3,3
590,Marshall County,1,1,2,1,1,1
60,Bradley County,1,3,1,1,1,1
600,Maury County,3,3,1,1,5,3
61,Cleveland,3,5,2,3,2,1
610,Meigs County,2,3,1,1,5,1
620,Monroe County,1,1,1,1,1,4
621,Sweetwater,5,3,5,5,3,4
630,Montgomery County,2,3,1,1,5,5
640,Moore County,5,4,4,4,5,3
650,Morgan County,1,1,1,1,1,1
660,Obion County,3,3,3,3,3,3
661,Union City,5,5,3,5,3,5
670,Overton County,5,4,5,5,5,1
680,Perry County,1,2,2,2,3,1
690,Pickett County,1,1,1,1,2,1
70,Campbell County,1,1,1,1,1,1
700,Polk County,1,2,1,1,2,3
710,Putnam County,5,5,5,5,3,1
720,Rhea County,3,2,5,3,2,4
721,Dayton,4,5,3,4,3,4
730,Roane County,4,3,5,5,5,1
740,Robertson County,1,1,1,1,1,1
750,Rutherford County,5,5,5,5,5,5
751,Murfreesboro,4,2,5,3,4,3
760,Scott County,1,2,1,1,2,1
761,Oneida,1,3,1,1,3,1
770,Sequatchie County,5,3,5,4,5,4
780,Sevier County,2,5,5,5,1,1
792,Memphis-Shelby County Schools,5,5,1,1,5,3
793,Arlington,2,5,1,3,1,3
794,Bartlett,5,5,2,5,5,5
795,Collierville,5,4,5,5,5,5
796,Germantown,5,5,3,5,5,4
797,Lakeland,3,3,2,3,2,4
798,Millington Municipal Schools,3,3,1,2,3,3
80,Cannon County,1,1,1,1,2,1
800,Smith County,1,2,1,1,1,1
810,Stewart County,1,2,4,3,1,3
820,Sullivan County,5,5,5,5,1,3
821,Bristol,5,5,5,5,5,5
822,Kingsport,5,1,5,3,5,5
830,Sumner County,2,1,4,1,3,5
840,Tipton County,1,1,1,1,1,5
850,Trousdale County,5,3,5,5,5,5
860,Unicoi County,1,2,1,1,3,3
870,Union County,1,1,1,1,1,1
880,Van Buren County,2,3,5,5,1,1
890,Warren County,1,1,1,1,1,1
900,Washington County,5,5,5,5,3,5
901,Johnson City,5,5,5,5,5,5
910,Wayne County,1,2,1,1,1,1
92,Hollow Rock - Bruceton,1,4,1,2,3,1
920,Weakley County,3,1,5,4,3,1
93,Huntingdon Special School District,1,1,2,1,1,5
930,White County,4,2,3,3,1,5
94,McKenzie,1,1,5,3,1,3
940,Williamson County,5,3,4,3,5,5
941,Franklin SSD,4,2,4,3,5,4
95,South Carroll,1,1,1,1,3,1
950,Wilson County,5,3,5,5,5,5
951,Lebanon,5,5,5,5,5,1
961,Alvin C York Institute,2,2,2,1,4,
963,Tennessee School for Blind,2,2,3,2,,
964,Tennessee Schools for the Deaf,3,3,3,3,4,3
97,West Carroll Sp Dist,2,2,3,3,2,3
970,Department Of Children's Services Education Division,3,2,4,3,3,2
985,Achievement School District,2,3,3,3,5,1
987,Tennessee Public Charter School Commission,5,5,5,5,5,5
