zip code,district_name
0,State of Tennessee
37015,Cheatham County
37027,Williamson County
37030,Smith County
37033,Hickman County
37040,Clarksville-Montgomery County
37055,Dickson County
37058,Stewart County
37061,Houston County
37064,Franklin SSD
37066,Sumner County
37074,Trousdale County
37083,Macon County
37087,Lebanon
37091,Marshall County
37096,Perry County
37110,Warren County
37122,Wilson County
37127,Rutherford County
37128,Murfreesboro
37160,Bedford County
37166,DeKalb County
37172,Robertson County
37185,Humphreys County
37190,Cannon County
37204,Metro Nashville Public Schools
37214,Tennessee School for Blind
37243,Tennessee Public Charter School Commission
37301,Grundy County
37303,Athens
37307,Polk County
37311,Bradley County
37312,Cleveland
37321,Dayton
37322,Meigs County
37327,Sequatchie County
37331,Etowah
37332,Rhea County
37334,Fayetteville
37347,Marion County
37348,Lincoln County
37352,Moore County
37354,Monroe County
37355,Manchester
37367,Bledsoe County
37380,Richard City
37382,Coffee County
37388,Tullahoma
37398,Franklin County
37421,Hamilton County
37605,Johnson City
37617,Sullivan County
37620,Bristol
37642,Hawkins County
37643,Elizabethton
37650,Unicoi County
37658,Carter County
37659,Washington County
37660,Kingsport
37683,Johnson County
37701,Alcoa
37716,Clinton
37725,Jefferson County
37727,Cocke County
37737,Blount County
37743,Greeneville
37756,Scott County
37757,Campbell County
37763,Roane County
37769,Anderson County
37771,Lenoir City
37774,Loudon County
37803,Maryville
37807,Union County
37813,Hamblen County
37818,Greene County
37821,Newport
37826,McMinn County
37830,Oak Ridge
37841,Oneida
37857,Rogersville
37861,Grainger County
37862,Sevier County
37869,Hancock County
37874,Sweetwater
37879,Claiborne County
37887,Morgan County
37902,Knox County
37920,Tennessee School for the Deaf
38001,Alamo
38002,Lakeland
38006,Bells
38008,Hardeman County Schools
38012,Haywood County
38017,Collierville
38019,Tipton County
38024,Dyersburg
38028,Arlington
38050,Crockett County
38053,Millington Municipal Schools
38059,Dyer County
38063,Lauderdale County
38068,Fayette County Public Schools
38079,Lake County
38104,Achievement School District
38112,Memphis-Shelby County Schools
38134,Bartlett
38138,Germantown
38201,McKenzie
38220,West Carroll Sp Dist
38225,Weakley County
38242,Paris
38251,Henry County
38260,Obion County
38261,Union City
38301,West Tennessee School for the Deaf
38305,Madison County
38316,Bradford
38317,Hollow Rock - Bruceton
38320,Benton County
38324,South Carroll
38329,Decatur County
38338,Gibson Co Sp Dist
38340,Chester County
38343,Humboldt City Schools
38344,Huntingdon Special School District
38351,Lexington
38358,Milan
38368,Henderson County
38372,Hardin County
38375,McNairy County
38382,Trenton
38401,Maury County
38462,Lewis County
38464,Lawrence County
38478,Giles County
38485,Wayne County
38506,Putnam County
38549,Pickett County
38551,Clay County
38555,Cumberland County
38556,Alvin C York Institute
38556,Fentress County
38562,Jackson County
38570,Overton County
38583,White County
38585,Van Buren County
